oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
condominio en venta en toram,2964705.88,66.0,,2.0,23.2904703182,-106.4394092604,easybroker,2024-09-02 12:27:21.140990,mazatlan,44919.78606060606
departamento en venta frente al malecon de mazatlan,5100000.0,81.14,,2.0,23.2134504,-106.421072,easybroker,2024-09-02 12:27:21.140990,mazatlan,62854.325856544245
condominio en venta en camino al mar,27000000.0,416.96,3.0,3.0,23.2457230713,-106.4536249646,easybroker,2024-09-02 12:27:21.140990,mazatlan,64754.412893323104
casa en venta con alberca en altabrisa,6700000.0,293.0,3.0,3.0,23.3054792,-106.4780693,easybroker,2024-09-02 12:27:21.140990,mazatlan,22866.894197952217
departamento en venta torre aloe en residencial los cardones,1750000.0,,,2.0,23.2708473,-106.4576718,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento  en mallorca condo boutique 106,3200000.0,88.87,2.0,2.0,23.2634217138,-106.460904479,easybroker,2024-09-02 12:27:21.140990,mazatlan,36007.65162597052
departamento en venta ferrara pacific mazatlan sinaloa,4995000.0,90.0,2.0,2.0,23.2625511,-106.4653765,easybroker,2024-09-02 12:27:21.140990,mazatlan,55500.0
condominio en preventa en rosarito beach,3000000.0,86.19,2.0,2.0,23.1945829,-106.4203218,easybroker,2024-09-02 12:27:21.140990,mazatlan,34806.82213713888
departamento en venta aura mazatlan sinaloa,3200000.0,71.0,,2.0,23.2152533,-106.4180751,easybroker,2024-09-02 12:27:21.140990,mazatlan,45070.42253521127
downtown condos  presale,2320000.0,,,,23.20074,-106.4203768,easybroker,2024-09-02 12:27:21.140990,mazatlan,
playa hermosa  preventa,2086560.0,,,,23.1910853,-106.4208587,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento en venta torre arvo mazatlan sinaloa,1613935.0,52.0,,,23.2546508,-106.4332208,easybroker,2024-09-02 12:27:21.140990,mazatlan,31037.21153846154
oasis  preventa,3502365.0,,,,23.3134849,-106.4772934,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamentos en venta en mazatlan a unos metros del mar,2352875.0,43.59,,,23.2443491,-106.4450042,easybroker,2024-09-02 12:27:21.140990,mazatlan,53977.40307409956
exclusivos departamentos en venta en una de las mejores areas de mazatlan,2580000.0,55.86,,,23.2415547,-106.4471462,easybroker,2024-09-02 12:27:21.140990,mazatlan,46186.89581095596
casa en venta en marina kelly,9008090.0,203.59,3.0,3.0,23.2891388,-106.4695134,easybroker,2024-09-02 12:27:21.140990,mazatlan,44246.23016847586
casa en venta  con excelente precio en villas de rey,2300000.0,175.0,2.0,3.0,23.2469691,-106.3976477,easybroker,2024-09-02 12:27:21.140990,mazatlan,13142.857142857143
espaciosos departamentos en la colonia lopez mateos,2250000.0,88.0,2.0,2.0,23.2401518,-106.4266507,easybroker,2024-09-02 12:27:21.140990,mazatlan,25568.18181818182
