oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en fraccionamiento en venta en el cid,3,3,312.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,12950000.0,41506.41025641026
casa en venta en valle del ejido,2,1,,23.2811526,-106.4030033,2024-09-02 13:00:56.917298,lamudi,850000.0,
casa en venta en playa azul fovissste,2,2,,23.2447109,-106.3909018,2024-09-02 13:00:56.917298,lamudi,1850000.0,
casa en venta en el encanto,3,2,225.0,23.2589605,-106.4577248,2024-09-02 13:00:56.917298,lamudi,6600000.0,29333.333333333332
casa en venta en ciudad de mazatlan,3,2,,23.2866613,-106.4218302,2024-09-02 13:00:56.917298,lamudi,2800000.0,
departamento en venta en marina mazatlan,2,2,84.0,23.27526,-106.45648,2024-09-02 13:00:56.917298,lamudi,3344465.0,39815.05952380953
casa en venta en real del valle,3,,200.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,4200000.0,21000.0
casa en fraccionamiento en venta en marina mazatlan,4,4,207.0,23.2929564,-106.4564725,2024-09-02 13:00:56.917298,lamudi,7780000.0,37584.54106280193
casa en venta en cerritos resort,3,3,285.0,23.2990776,-106.4836574,2024-09-02 13:00:56.917298,lamudi,14500000.0,50877.19298245614
casa en venta en ferrocarrilera,4,3,,23.2216585,-106.4207116,2024-09-02 13:00:56.917298,lamudi,6300000.0,
casa en fraccionamiento en venta en marina mazatlan,4,4,,23.2775658,-106.4527369,2024-09-02 13:00:56.917298,lamudi,12650000.0,
departamento en venta en sabalo country club,2,2,,23.2626843,-106.4626734,2024-09-02 13:00:56.917298,lamudi,2990000.0,
casa en venta en benito juarez,2,1,,23.2310997,-106.4067262,2024-09-02 13:00:56.917298,lamudi,1890000.0,
departamento en venta en el cid,2,2,,23.25422,-106.45118,2024-09-02 13:00:56.917298,lamudi,2490000.0,
casa en venta en real pacifico,3,1,,23.2763963,-106.4349268,2024-09-02 13:00:56.917298,lamudi,1995000.0,
casa en venta en real del valle,2,1,157.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,2595000.0,16528.662420382167
departamento en venta en los pinos,2,2,132.0,23.2065356,-106.4283148,2024-09-02 13:00:56.917298,lamudi,8700000.0,65909.09090909091
departamento en venta en los pinos,1,1,54.0,23.2065356,-106.4283148,2024-09-02 13:00:56.917298,lamudi,3800000.0,70370.37037037036
departamento en venta en los pinos,2,2,124.0,23.2065356,-106.4283148,2024-09-02 13:00:56.917298,lamudi,7200000.0,58064.51612903226
departamento en venta en reforma,1,1,90.0,23.2134566,-106.4207579,2024-09-02 13:00:56.917298,lamudi,6450000.0,71666.66666666667
casa en venta en valle del ejido,3,2,,23.277658,-106.403782,2024-09-02 13:00:56.917298,lamudi,1550000.0,
departamento en venta en sabalo cerritos,2,2,110.0,23.26217,-106.46511,2024-09-02 13:00:56.917298,lamudi,9900000.0,90000.0
departamento en venta en marina mazatlan,2,2,103.0,23.2716689,-106.4597284,2024-09-02 13:00:56.917298,lamudi,4600000.0,44660.19417475728
departamento en venta en sabalo country club,1,1,45.0,23.2626843,-106.4626734,2024-09-02 13:00:56.917298,lamudi,2800000.0,62222.22222222222
departamento en venta en villa marina,2,2,110.0,23.291959005819294,-106.46798270262451,2024-09-02 13:00:56.917298,lamudi,4590000.0,41727.27272727273
departamento en venta en sabalo cerritos,2,2,86.0,23.29199842,-106.46789687,2024-09-02 13:00:56.917298,lamudi,3990000.0,46395.348837209305
departamento en venta en sabalo cerritos,1,1,46.0,23.29205755,-106.46776813,2024-09-02 13:00:56.917298,lamudi,2690000.0,58478.260869565216
